epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.1474,0.99746,2.29755,1.44345,0.54934,0.63721,0.61367,0.37886,1.07754,2.49685,1.54138,0.000549692,0.000549692,0.000549692
2,175.152,1.17002,1.76806,1.52838,0.40235,0.50891,0.40522,0.18071,1.70997,2.4374,2.05166,0.00109806,0.00109806,0.00109806
3,264.552,1.20648,1.70972,1.57946,0.35518,0.58651,0.42685,0.18164,1.88912,2.29812,2.51211,0.0016391,0.0016391,0.0016391
4,352.829,1.24386,1.61213,1.59758,0.47652,0.67328,0.56697,0.28962,1.61572,1.68311,2.11356,0.00163399,0.00163399,0.00163399
5,455.637,1.18871,1.50655,1.54282,0.55185,0.61358,0.60718,0.30885,1.59951,1.6562,2.04736,0.00162299,0.00162299,0.00162299
6,546.785,1.19261,1.46281,1.53952,0.52568,0.57116,0.57713,0.31168,1.64236,1.92492,2.07643,0.00161199,0.00161199,0.00161199
7,622.383,1.16552,1.44513,1.53638,0.3884,0.56349,0.42746,0.19318,1.79647,1.93083,2.13914,0.00160099,0.00160099,0.00160099
8,743.611,1.15545,1.39717,1.50633,0.48738,0.74868,0.69539,0.35415,1.4595,1.63025,1.86383,0.00158998,0.00158998,0.00158998
9,829.717,1.08947,1.31778,1.46029,0.68759,0.63492,0.73969,0.47305,1.10807,1.30842,1.52363,0.00157898,0.00157898,0.00157898
10,925.586,1.09198,1.30417,1.47166,0.5883,0.66485,0.66344,0.37452,1.37624,1.46982,1.68489,0.00156798,0.00156798,0.00156798
11,1013.32,1.06901,1.27834,1.45142,0.69341,0.63307,0.69248,0.41786,1.23393,1.32708,1.5779,0.00155698,0.00155698,0.00155698
12,1089.2,1.09931,1.28548,1.47471,0.60344,0.69614,0.70295,0.35398,1.65127,1.40704,1.83531,0.00154598,0.00154598,0.00154598
13,1186.57,1.07114,1.2497,1.46194,0.67135,0.68281,0.72612,0.45024,1.3366,1.17057,1.70339,0.00153497,0.00153497,0.00153497
14,1269.23,1.0351,1.19887,1.44186,0.68436,0.75547,0.78,0.49728,1.1569,1.03012,1.56365,0.00152397,0.00152397,0.00152397
15,1350.2,1.05396,1.19618,1.44569,0.6226,0.66878,0.67838,0.40296,1.22212,1.26074,1.61479,0.00151297,0.00151297,0.00151297
16,1432.02,1.02172,1.17161,1.42855,0.59834,0.75243,0.71428,0.44821,1.18215,1.14016,1.56009,0.00150197,0.00150197,0.00150197
17,1511.26,1.0274,1.17587,1.41521,0.5945,0.76817,0.70512,0.4608,1.15849,1.20793,1.52356,0.00149096,0.00149096,0.00149096
18,1586.07,1.02063,1.15119,1.42466,0.65548,0.79007,0.75805,0.47957,1.20545,1.14645,1.64525,0.00147996,0.00147996,0.00147996
19,1662.64,1.00324,1.12496,1.40776,0.59408,0.79447,0.77207,0.49691,1.20433,1.13524,1.57198,0.00146896,0.00146896,0.00146896
20,1757.05,1.00652,1.08666,1.4145,0.77607,0.68907,0.79304,0.49889,1.21922,1.08601,1.58294,0.00145796,0.00145796,0.00145796
